dateTime,usUnits,interval,barometer,pressure,altimeter,inTemp,outTemp,inHumidity,outHumidity,windSpeed,windDir,windGust,windGustDir,rainRate,rain,dewpoint,windchill,heatindex,ET,radiation
1415494860,1,1,29.773,28.4901106325,29.7232387233,75.8,46.4,30,85,0,,0,,0,0,42.1394938279,46.4,46.4,0,0
1415494920,1,1,29.773,28.4901106325,29.7232387233,75.8,46.4,30,85,0,,0,,0,0,42.1394938279,46.4,46.4,0,0
1415494980,1,1,29.774,28.4910495931,29.7242107027,75.8,46.3,30,85,0,,0,,0,0,42.0414110314,46.3,46.3,0,0
1415495040,1,1,29.774,28.4910317019,29.7241921824,75.8,46.2,30,85,0,,1,112.5,0,0,41.9433278075,46.2,46.2,0,0
1415495100,1,1,29.775,28.4920262023,29.7252216545,75.8,46.1,30,86,0,,1,112.5,0,0,42.1487096447,46.1,46.1,0,0
1415495160,1,1,29.774,28.4910513105,29.7242124806,75.8,46,30,86,1,112.5,2,112.5,0,0,42.050489529,46,46,0,0
1415495220,1,1,29.774,28.4910333892,29.724193929,75.8,45.9,30,86,0,,1,112.5,0,0,41.9522690159,45.9,45.9,0,0
1415495280,1,1,29.773,28.4900586179,29.7231848796,75.8,45.8,30,86,0,,1,112.5,0,0,41.8540481054,45.8,45.8,0,0
1415495340,1,1,29.773,28.4900954044,29.7232229597,75.8,45.7,30,87,0,,1,112.5,0,0,42.0556589485,45.7,45.7,0,0
1415495400,1,1,29.772,28.4891384939,29.7222323989,75.8,45.7,30,87,1,112.5,1,112.5,0,0,42.0556589485,45.7,45.7,0,0
1415495460,1,1,29.772,28.4891205462,29.7222138201,75.8,45.6,30,87,0,,1,112.5,0,0,41.9573026192,45.6,45.6,0,0
1415495520,1,1,29.773,28.4892841852,29.7223832136,75.8,45.5,30,87,0,,1,112.5,0,0,41.8589459222,45.5,45.5,0,0
1415495580,1,1,29.773,28.4892841852,29.7223832136,75.8,45.5,30,87,0,,1,112.5,0,0,41.8589459222,45.5,45.5,0,0
1415495640,1,1,29.772,28.4883094514,29.7213742026,75.8,45.4,30,87,0,,0,,0,0,41.7605888576,45.4,45.4,0,0
1415495700,1,1,29.773,28.4893023762,29.7224020443,75.8,45.3,30,88,0,,1,112.5,0,0,41.9585077109,45.3,45.3,0,0
1415495760,1,1,29.773,28.4893023762,29.7224020443,75.8,45.3,30,88,1,112.5,1,112.5,0,0,41.9585077109,45.3,45.3,0,0
1415495820,1,1,29.772,28.4883275577,29.7213929455,75.8,45.2,30,88,1,112.5,2,112.5,0,0,41.8600166711,45.2,45.2,0,0
1415495880,1,1,29.772,28.4883096824,29.7213744417,75.8,45.1,30,88,0,,1,112.5,0,0,41.7615252932,45.1,45.1,0,0
1415495940,1,1,29.772,28.4882918665,29.7213559993,75.8,45,30,88,0,,0,,0,0,41.663033577,45,45,0,0
1415496000,1,1,29.771,28.4873172283,29.720347087,75.8,44.9,30,88,0,,0,,0,0,41.5645415226,44.9,44.9,0,0
1415496060,1,1,29.771,28.4872995312,29.7203287675,75.8,44.8,30,88,0,,0,,0,0,41.46604913,44.8,44.8,0,0
1415496120,1,1,29.771,28.4872818928,29.7203105088,75.8,44.7,30,88,0,,2,112.5,0,0,41.3675563993,44.7,44.7,0,0
1415496180,1,1,29.77,28.4863250125,29.7193199787,75.8,44.7,30,88,0,,2,112.5,0,0,41.3675563993,44.7,44.7,0,0
1415496240,1,1,29.769,28.4853505538,29.7183112517,75.8,44.6,30,88,0,,0,,0,0,41.2690633303,44.6,44.6,0,0
1415496300,1,1,29.771,28.4865226643,29.7195245812,75.8,44.5,30,89,0,,0,,0,0,41.4628379448,44.5,44.5,0,0
1415496360,1,1,29.77,28.4855481289,29.7185157749,75.8,44.4,30,89,0,,2,135,0,0,41.3642124331,44.4,44.4,0,0
1415496420,1,1,29.77,28.4855481289,29.7185157749,75.8,44.4,30,89,1,135,2,135,0,0,41.3642124331,44.4,44.4,0,0
1415496480,1,1,29.768,28.4836167999,29.7165165274,75.8,44.3,30,89,0,,1,135,0,0,41.2655866125,44.3,44.3,0,0
1415496540,1,1,29.768,28.4836167999,29.7165165274,75.8,44.3,30,89,0,,0,,0,0,41.2655866125,44.3,44.3,0,0
1415496600,1,1,29.769,28.484556091,29.7174888504,75.8,44.2,30,89,0,,0,,0,0,41.1669604829,44.2,44.2,0,0
1415496660,1,1,29.77,28.4854954395,29.7184612325,75.6,44.1,30,89,0,,0,,0,0,41.0683340443,44.1,44.1,0,0
1415496720,1,1,29.769,28.4845211415,29.7174526718,75.8,44,30,89,0,,1,135,0,0,40.9697072968,44,44,0,0
1415496780,1,1,29.77,28.4855292973,29.718496281,75.6,44,30,90,0,,0,,0,0,41.2584418461,44,44,0,0
1415496840,1,1,29.768,28.4835980095,29.7164970762,75.8,43.9,30,90,0,,0,,0,0,41.1596843808,43.9,43.9,0,0
1415496900,1,1,29.768,28.4835980095,29.7164970762,75.8,43.9,30,90,0,,0,,0,0,41.1596843808,43.9,43.9,0,0
1415496960,1,1,29.768,28.4835804875,29.7164789379,75.8,43.8,30,90,0,,0,,0,0,41.0609266357,43.8,43.8,0,0
1415497020,1,1,29.769,28.4845373398,29.7174694398,75.8,43.8,30,90,0,,0,,0,0,41.0609266357,43.8,43.8,0,0
1415497080,1,1,29.769,28.4845198757,29.7174513615,75.8,43.7,30,90,0,,0,,0,0,40.9621686106,43.7,43.7,0,0
1415497140,1,1,29.769,28.4845198757,29.7174513615,75.6,43.7,30,90,0,,0,,0,0,40.9621686106,43.7,43.7,0,0
1415497200,1,1,29.77,28.4854593211,29.718423844,75.6,43.6,30,90,0,,0,,0,0,40.8634103057,43.6,43.6,0,0
1415497260,1,1,29.769,28.4837077313,29.7166106566,75.6,43.5,30,90,0,,0,,0,0,40.7646517209,43.5,43.5,0,0
1415497320,1,1,29.769,28.4837077313,29.7166106566,75.6,43.5,30,90,0,,0,,0,0,40.7646517209,43.5,43.5,0,0
1415497380,1,1,29.769,28.4837581271,29.7166628247,75.6,43.5,30,91,0,,0,,0,0,41.0499255809,43.5,43.5,0,0
1415497440,1,1,29.769,28.4837406257,29.7166447078,75.6,43.4,30,91,0,,0,,0,0,40.9510376381,43.4,43.4,0,0
1415497500,1,1,29.77,28.4846974513,29.7176351818,75.6,43.4,30,91,0,,0,,0,0,40.9510376381,43.4,43.4,0,0
1415497560,1,1,29.77,28.4846800078,29.717617125,75.6,43.3,30,91,0,,0,,0,0,40.8521494443,43.3,43.3,0,0
1415497620,1,1,29.769,28.4837057984,29.7166086556,75.6,43.2,30,91,0,,0,,0,0,40.7532609995,43.2,43.2,0,0
1415497680,1,1,29.77,28.4846626228,29.7175991285,75.6,43.2,30,91,0,,0,,0,0,40.7532609995,43.2,43.2,0,0
1415497740,1,1,29.77,28.4846626228,29.7175991285,75.6,43.2,30,91,0,,0,,0,0,40.7532609995,43.2,43.2,0,0
1415497800,1,1,29.77,28.484645296,29.7175811924,75.6,43.1,30,91,0,,0,,0,0,40.6543723036,43.1,43.1,0,0
1415497860,1,1,29.771,28.485651755,29.7186230452,75.6,43.1,30,92,0,,0,,0,0,40.9363837825,43.1,43.1,0,0
1415497920,1,1,29.771,28.4856342973,29.7186049735,75.6,43,30,92,0,,0,,0,0,40.8373670339,43,43,0,0
1415497980,1,1,29.772,28.4865416737,29.7195442591,75.6,43,30,91,0,,0,,0,0,40.5554833568,43,43,0,0
1415498040,1,1,29.772,28.4865737224,29.7195774348,75.6,42.9,30,92,0,,0,,0,0,40.7383500628,42.9,42.9,0,0
1415498100,1,1,29.773,28.4875305467,29.7205679069,75.6,42.9,30,92,0,,0,,0,0,40.7383500628,42.9,42.9,0,0
1415498160,1,1,29.773,28.4875305467,29.7205679069,75.6,42.9,30,92,0,,0,,0,0,40.7383500628,42.9,42.9,0,0
1415498220,1,1,29.773,28.4875132047,29.720549955,75.6,42.8,30,92,0,,1,135,0,0,40.6393328694,42.8,42.8,0,0
1415498280,1,1,29.775,28.4894268522,29.7225308975,75.6,42.8,30,92,0,,0,,0,0,40.6393328694,42.8,42.8,0,0
1415498340,1,1,29.778,28.4922800366,29.7254844149,75.6,42.7,30,92,0,,0,,0,0,40.5403154536,42.7,42.7,0,0
1415498400,1,1,29.777,28.4913059854,29.7244761111,75.6,42.6,30,92,0,,0,,0,0,40.4412978155,42.6,42.6,0,0
1415498460,1,1,29.777,28.4913059854,29.7244761111,75.6,42.6,30,92,0,,0,,0,0,40.4412978155,42.6,42.6,0,0
1415498520,1,1,29.776,28.4903491628,29.7234856416,75.6,42.6,30,92,0,,1,135,0,0,40.4412978155,42.6,42.6,0,0
1415498580,1,1,29.777,28.4905101845,29.7236523257,75.6,42.5,30,92,1,135,1,135,0,0,40.342279955,42.5,42.5,0,0
1415498640,1,1,29.776,28.4895533887,29.7226618837,75.6,42.5,30,92,0,,0,,0,0,40.342279955,42.5,42.5,0,0
1415498700,1,1,29.777,28.4905101845,29.7236523257,75.6,42.5,30,92,0,,0,,0,0,40.342279955,42.5,42.5,0,0
1415498760,1,1,29.775,28.4885965928,29.7216714415,75.6,42.5,30,92,0,,1,135,0,0,40.342279955,42.5,42.5,0,0
1415498820,1,1,29.776,28.489601966,29.7227121693,75.6,42.5,30,93,0,,0,,0,0,40.6208417742,42.5,42.5,0,0
1415498880,1,1,29.774,28.4876710546,29.7207133559,75.6,42.4,30,93,0,,0,,0,0,40.5216971981,42.4,42.4,0,0
1415498940,1,1,29.773,28.4867142577,29.7197229122,75.6,42.4,30,93,0,,0,,0,0,40.5216971981,42.4,42.4,0,0
1415499000,1,1,29.774,28.4876710546,29.7207133559,75.6,42.4,30,93,0,,1,135,0,0,40.5216971981,42.4,42.4,0,0
1415499060,1,1,29.774,28.4876537964,29.7206954908,75.6,42.3,30,93,0,,0,,0,0,40.422552428,42.3,42.3,0,0
1415499120,1,1,29.775,28.4886105927,29.7216859337,75.6,42.3,30,93,0,,0,,0,0,40.422552428,42.3,42.3,0,0
1415499180,1,1,29.774,28.4876537964,29.7206954908,75.6,42.3,30,93,0,,0,,0,0,40.422552428,42.3,42.3,0,0
